Title,Keywords,Keyword_Count
"'홀로서기' 조현준·조현상, 공식무대 따로 등판한 효성가 두 형제","['포럼', '서울', '기자', '롯데호텔', '취재진']",5
"5월 강원도 관광객 1,244만 명…20% 증가","['강원관광재단', '외국인', '강원', '관광객', '춘천']",5
한화로보틱스 새 대표에 정병찬 최고기술관리자 내정,"['관리자', '정병찬', '대표', '2024', '사진']",5
"스푼라디오, 글로벌 숏폼 드라마 플랫폼 '비글루' 출시","['라디오', '비글루', '오디오', '영상', '연합뉴스']",5
"엔비티, 메타버스 플랫폼 '제페토' 국내 서비스 오퍼월 구축 운영","['네트워크', '엔비티', '플랫폼', '사용자', '시스템']",5
"키움증권, 비대면신규 계좌 대상 국내주식 최대 5주 몽땅드림 이벤트 실시 [투자360]","['고객', '투자', '방학', '계좌', '배민쿠폰']",5
"대방건설 `과천 디에트르` 특별공급 진행...""견본주택 대기행렬 500m 달해""","['동탄2신도시', '주말', '분양', '마지막', '대방건설']",5
[인사]한국개발연구원,"['김기완', '부원장', '정대희', '부서장', '북한']",5
"GS25, 배민서도 '즉시배송'…도시락·김밥도 주문 가능","['gs리테일', '편의점', '용품', '퀵커머스실장', '홈페이지']",5
"대신證 ""네이버, 웹툰 지분가치 감소에 목표가↓…하반기 기대""","['매출액', '대신증권', '비용', '투자', '시장']",5
"레미콘 운송노조, 무기한 휴업","['공장', '트럭', '한국', '운송노동조합', '제조사']",5
"""이 제품, 가품입니다""..명품 감정 뒤집은 중고플랫폼 [명품價 이야기]","['업계', '한국명품감정원', '카드', '소비자', '브랜드']",5
"6월 수출 5.1%↑, 9개월 연속 플러스…반도체 134억달러, 역대 최대","['수출국', '반도체', '성장세', '중국', '수출']",5
올해 부산 최다 청약 ‘양정 롯데캐슬 프론티엘’ 정당계약 시작,"['계약', '분양', '계약금', '계약자', '날짜']",5
"여수, 무안, 목포 등 전남 주요도시도 소멸위험 빨간불","['한국', '위기', '목포', '위험', '전국']",5
"폭스바겐, ID.패밀리·티구안·골프 등 신차에 ‘챗GPT’ 기능 탑재","['언어', '익명', '음성', '챗봇', '지능']",5
"시담, 일본 ‘네츠사마 아이마스크’ 국내 독점 총판 계약 체결","['유통', '한국', '계약', '브랜드', '제품']",5
"제바협 AI신약융합연구원, AI신약개발 인력 양성 교육생 모집","['ai신약융합연구원', '지능', '개발자', '컨설팅', '교육']",5
"사람인, 한국건설기술인협회와 일자리매칭 '맞손'","['한국건설기술인협회', '협약식', '서울', '김형석', '김강윤']",5
"카카오, '브런치북 출판 프로젝트' 대상 수상작 출간","['출판사', '카카오톡', '프로젝트', '콘텐츠', '브런치스토리']",5
"현대백화점,  AI 활용한 광고 만든다.. 오프라인 행사에도 도입 검토","['현대닷컴', '디자이너', '현대백화점', '스텝', '프로그램']",5
"본업 강화 나선 SK그룹, AI·반도체 집중궤도 그린다…HBM 3파전 예고[SS포커스]","['산업', '반도체', 'skms연구소', '삼성전자', '지능']",5
윤희성 수출입은행장 “국제협력은행으로 역할 확대해야”,"['혁신', '수출입은행장', '시장', '정부', '투자']",5
"안덕근 장관, 소상공인 에너지효율개선 현장 방문","['서울', '영업장', '펌프', '설비', '산업']",5
인구·예산·경제 규모까지…숫자로 본 통합 청주시 발전상,"['인구', '성장세', '뉴스', '통합', '성장']",5
"삼성중공업, LNG운반선 4척 1조 4천381억 원에 수주","['삼성중공업', '수익', '선박', '회사', '금액']",5
"세계 최초 데이터 통합·연계한 연금통계 작성…통계청, 상반기 적극행정 포상","['통계청장', '고용', '통계청', '투표', '위원회']",5
"아이큐어, '화장품 토너' 북미 코스모팩 어워드 4대 처방 선정","['화장품', '전시회', '코스모팩', '백화점', '홍콩']",5
"희림, 26억 규모 신흥4구역 도시환경정비사업 해지","['매출액', '위원회', '환경', '계약', '사업']",5
"신창재 교보생명 의장, 제네바포럼서 윤리경영상 수상","['수상자', '기업가', '윤리', '이해관계자', '본부']",5
"신한은행, 정기인사 실시…체크카드솔루션실·Tech혁신단 신설","['영업', '혁신단', '신한은행', '사업', '최근']",5
롤링파스타,"['더본코리아', '치즈', '브랜드', '그라나파다노', '파스타']",5
"에어큐브-필리핀 Remax, Identity MSP 파트너십 체결","['remax', '파트너십', 'msp', '필리핀', 'identity']",5
"야놀자 플랫폼, 여름 성수기 '무료 취소' 캠페인 실시","['여름', '예약일', '캠페인', '여행객', '휴가철']",5
"K-조선, ‘3조5000억’ 잭팟…영업이익 개선 기대","['삼성중공업', 'vlcc', '천연가스', '중동', '수익']",5
"정부, 2024년 상반기 수출입 동향 발표","['수출', '무역', '수입', '산업', '수출입']",5
SK온 비상경영 선언…배터리 3사 가운데 처음,"['경영자', 'cpo', '효율', '임원', '책임자']",5
"""바지에 싸고 말았다""…기적의 다이어트약 부작용 사례 잇따라","['오젬픽', '설사', '폭발', '임상', '세마글루타이드']",5
"유한양행, 고셔병 치료제 임상 1상 시험계획 식약처 승인","['의약품', '약물', '약동학', '임상', '치료제']",5
"청담글로벌, 수출·유통 관리 'TDMS 솔루션' 출시","['tdms', '고객', '데이터베이스', '마케팅', '기업']",5
암환자 맞춤형 항암보조제 찾아준다,"['항암', '항암제', '방사선', '암세포', '암병원']",5
"한투증권, MTS 홈 화면 전면 개편…""해외주식 접근성 높여""","['mts', '모바일', '화면', '서울', '디지털']",5
오늘부터 유류세 인하율 축소,"['가격', '휘발유', '서울', '재정부', '정부']",5
성낙인 창녕군수 인사말,"['마늘', '창녕농협농산물공판장', '재배', '김동민', '인사말']",5
한우 도매가격 ‘하락세’ 언제까지…“키울수록 손해”,"['농민', '서울', '도매가격', '뉴스', '생산비']",5
"""선행지표 부진·부동산PF 불확실로 3분기 건설시장 부진 전망""","['불확실', '건설', '대한건설정책연구원', '향후', '정책']",5
"""글로벌 기술패권 대응""…산은, 17조원 규모 '반도체 저금리 대출' 가동","['반도체', '기술', '삼성전자', '산업은행', '산업']",5
"이노션, 강남대로에 최대 규격 미디어월 '더 몬테 강남' 설치","['강남대로', '서울', '지하철', '빌딩', '인근']",5
"배달의민족, 라이더 교육부터 외식업주 생계비까지 … 우린 '상생의 민족'","['형제', '복지', '행복', '배달의민족', '혜택']",5
"[속보] 삼성전자 노조 ""3차 교섭 무산…무임금 무노동 총파업""","['총파업', '노조', '전국삼성전자노동조합', '투쟁', '분노']",5
반도체·車 '쌍끌이'…무역흑자 6년 만에 최대,"['수출', '연수출', '무역', '총생산', '산업']",5
컨테이너 가득 쌓인 부산항,"['수출', '무역', '최대', '산업', '컨테이너']",5
"산은, 17조 규모 '반도체 설비투자지원 특별프로그램' 출시","['자금', '프로그램', '개발', '정책', '산업은행']",5
캐논·로지텍 등 에누리 히트브랜드 선정,"['에누리닷컴', '디지털', '커넥트웨이브', '부문', '올해']",5
"[JV 재구성] 대한항공, '델타 파트너십' 수익 이상의 시너지","['아시아나항공', '항공업', '항공사', '항공', '항공편']",5
"의료계 리베이트 의사 100여명 추가 입건…""늘어날 수도""","['제약사', '집단행동', '기자', '경찰', '의사']",5
[포토] 축사하는 황우여 비상대책위원장,"['위원장', '세미나', '김현민', '의원', '회관']",5
[포토] )오늘부터 외환시장 새벽 마감,"['서울', '하나은행', '포인트', '거래일', '본점']",5
혈압관리 위한 혁신적인 ‘스마트 반지’ 시대 열린다,"['심혈관', '혈압', '센서', '제약사', '혈류량']",5
"케이뱅크, 올 상반기 고객 194만명 증가","['성장세', '고객', '금리', '투자', '인기']",5
"기아, '키자니아 부산'에 어린이 모빌리티 직업 체험관 개관","['테마파크', '본부장', '부산', '체험관', '마케팅실장']",5
"한화건설부문, 혹서기 현장에 '빙수 푸드트럭' 운영","['근로자', '건설', '푸드트럭', '회사', '업무']",5
"한컴 한글·OCR SDK 브리티향 제품, GS인증 1등급 획득","['gs인증', '품질', '등급', '소프트웨어', '표준']",5
[속보] 6월 수출 5.1%↑…9개월 연속 수출 증가,"['수출', '증가', '속보', '연속']",4
"'저가 매수' 비트코인 2% 상승, 6만2000달러 재돌파","['금리', '비트코인', '코인마켓캡', '화폐', '자금']",5
"NS홈쇼핑, 상금 1억원 규모 요리경연 참가팀 접수","['식품', 'ns홈쇼핑', '초청', '식재료', '푸드']",5
"삼성전자, 개미가 팔아도 기관·외국인이 샀다…0.37% 상승 마감[핫종목]","['서울', '로이터', 'nh투자증권', '수익', '한국']",5
9개월 연속 '수출 플러스'…6월 반도체 수출 역대 최대,"['수출', '수출액', '증가세', '확산', '산업']",5
"SM 버추얼 아이돌 나이비스 첫 공개 ""아나모픽 3D 기법으로 입체감+몰입도↑""","['콘서트', '2024', '투어', 'aespa', '무대']",5
"하나카드, 새마을금고중앙회와 PLCC 카드 파트너십","['파트너십', '하나카드', '체결', '협약식', '협약']",5
"김태효, 채상병 관련 ""윤 대통령 안보실회의서 격노한 적 없어""","['대통령', '국방부', '장관', '서울', '회의']",5
"OCI 익산공장, 노동부 공정안전관리 평가서 최고 등급 획득","['psm', '안전', '등급', '공장', '사장']",5
"“빚 내고 못 갚아”…전주시, 소상공인 대출 연장 효과는?","['김현주', '식당', '불황', '관리자', '매출']",5
"미래에셋, 퇴직연금 DB형 위탁운용 사모펀드 순자산 1조 돌파","['연금', '펀드', '금융', '미래에셋자산운용', '급여']",5
"‘폭발적 성장’ 스마트홈, 320조 시장 열린다…삼성·LG전자 접근법은?","['주택', '디지털', '스마트', '기술', '와이파이']",5
이마트 '7월 가격 파격 선언' 행사,"['이마트', '가격', '서울', '할인', '상품']",5
정관장,"['제품', '시장', 'gmp', '품질', '식품']",5
일동후디스 하이뮨·산양유아식…소비자가 뽑은 ‘소비자웰빙환경지수’1위,"['산양유아식', '단백질', '소비자', '유아식', '건강']",5
"동국생명과학 등 4개사, 코스닥 예심 신청…IPO 절차 돌입","['db동국제약', '신청', '자회사', '신청서', '홈페이지']",5
"시지바이오 담관용 스텐트, 日 PMDA 품목 허가 획득","['바이오', '액체', '시지바이오', '의약품', '소화기']",5
"남해해경청, 해상 음주운항 특별단속","['부산해양경찰서', '남해지방해양경찰청', '선박', '낚시', '낚싯배']",5
코스피-코스닥 상승 마감,"['거래', '서울', '김선웅', '거래일', '하나은행']",5
원·달러 환율마감 새벽 2시…투자 편의 높아진다,"['시장', '시간', '투자자', '주식', '변화']",5
"우리금융, 성북구에 '굿윌스토어' 개점","['서울', '우리금융미래재단', '우리은행', '본부장', '우리금융그룹']",5
"1년 안에 ""집 살래"" 65%...실수요자 움직인다","['주택', '수요', '평균', '아파트', '금리']",5
더벤티,"['커피', '디카페인', '브라질', '브랜드다', '메뉴']",5
"[특징주] '9천억 원'대 공사 수주 성공…신세계건설, 한때 20% 가까이 올라","['증권', '시장', '034300', '서울경제', '신세계건설']",5
"두산에너빌리티, 분당복합 380MW급 K-가스터빈 공급 계약","['안동복합발전소', '한국남동발전', '발전소', '보령신복합발전소', '산업']",5
에자이 알츠하이머 치료제 '레켐비' 중국 상륙,"['알츠하이머병', '알츠하이머', '중국', '단백질', '베타아밀로이드']",5
"""명동에서 라면 체험 하세요""…농심, `너구리의 라면가게` 오픈","['매장', '방문객', '스카이파크', '시간', '예정']",5
"도미노피자, “피자 먹고 손흥민 홈경기 직관 기회 잡으세요”","['티켓', '캠페인', '홈경기', '프로모션', '모바일']",5
7월의 임업인에 야생화로 수익내는 송동민 다년초사랑농원 대표,"['송동민', '해살이', '상태', '왕겨', '발생']",5
"'반도체·車'가 견인한 상반기 수출, 9.1% 늘어난 3348억불…'역대 2위'(상보)","['무역', '수입', '중국', '달러', '시장']",5
“3분기 건설시장 부진 전망…주택시장 분위기는 개선”,"['건설', '불확실', '시장', 'pf', '정책']",5
[인사] 에너지경제연구원,"['에너지국제기구협력실장', '에너지국제협력센터', '가스', '에너지', '위원']",5
"NS홈쇼핑, 상금 1억원 규모 요리경연 참가팀 접수","['식품', 'ns홈쇼핑', '푸드', '식재료', '식문화']",5
"한국앤컴퍼니, 스타트업 투자 활성화 위한 '로켓십 IR 경진대회' 개최","['한국앤컴퍼니', '스타트업', '대회', '한국앤컴퍼니그룹', '로켓십']",5
"신세계건설, 9000억 규모 스타필드청라 수주 소식에 급등[핫스탁]","['신세계건설', '매출액', '규모', '한국', '쇼핑몰']",5
멈춰선 레미콘 차량,"['한국노총', '파업', '레미콘운송노동조합', '공장', '협상']",5
"""입주일만 기다렸는데‥"" 돌연 계약 취소에 800세대 '날벼락'","['뉴스', 'gtx', '계약금', '청약', '피해자']",5
코리아스타트포럼 신규 CI 공개,"['스타트업', '홈페이지', '혁신', '시작', '포럼']",5
"거래소·네이버페이, 건전한 온라인 투자문화 조성 협약 체결","['사이버', '체결', '김근익', '캠페인', '감시']",5
"[그래픽] 6월 수출, 15대 주력 품목 중 6개 증가","['수출', '산업', '정보', '기술', '부문']",5
"한국, 대중국 수출 40년만 최대 낙폭","['국제무역통상연구원', '한국', '무역', '수출', '변화']",5
대법 “주식 리딩방 위법이어도 계약은 유효…위약금 내야”,"['법원', '소송', '법관', '시장법', '판결']",5
"코빗, 11주년 기념 '데일리 리워드' 출시","['데일리', '고객', '일정', '주간', '상금']",5
7월 코스피 2900대 전망도,"['증권가', '금리', '한국', '예측', '2780']",5
